date,pct_change,high,low,close,ma5,ma10,ma20,ma60
2005-01-07,,1009.0,984.795,997.606,,,,
2005-01-14,0.00256915,1019.48,993.123,1000.17,,,,
2005-01-21,-0.011648,991.839,951.427,988.519,,,,
2005-01-28,-0.0365253,1009.95,949.112,952.413,,,,
2005-02-04,0.0100954,967.936,911.933,962.028,980.1472,,,
2005-02-18,0.00284919,979.304,964.324,964.769,973.5798000000001,,,
2005-02-25,0.0615163,1035.47,964.471,1024.12,978.3698,,,
2005-03-04,-0.0204156,1028.33,996.362,1003.21,981.308,,,
2005-03-11,0.00620408,1034.62,999.111,1009.43,992.7113999999999,,,
2005-03-18,-0.059365,1016.54,945.597,949.509,990.2076000000001,985.1773999999999,,
2005-03-25,-0.0190541,952.756,914.541,931.417,983.5372,978.5585000000001,,
2005-04-01,-0.00415603,934.549,880.878,927.546,964.2224,971.2960999999999,,
2005-04-08,0.0236225,949.468,893.027,949.457,953.4718,967.3898999999999,,
2005-04-15,-0.0381123,957.342,911.318,913.271,934.24,963.4757,,
2005-04-22,-0.0611757,910.889,851.343,857.401,915.8184000000001,953.0129999999999,,
2005-04-29,-0.0114182,863.452,825.509,847.611,899.0572,941.2972000000002,,
2005-05-13,-0.0386179,851.209,791.103,814.878,876.5236000000001,920.3729999999999,,
2005-05-20,0.00521796,828.582,802.823,819.13,850.4582,901.9650000000001,,
2005-05-27,-0.0343438,817.668,788.817,790.998,826.0036,880.1217999999999,,
2005-06-03,-0.0316448,802.036,755.255,765.967,807.7167999999999,861.7675999999999,923.4725000000001,
2005-06-10,0.085693,858.746,751.321,831.605,804.5156000000001,851.7864,915.17245,
2005-06-17,-0.0378401,841.334,786.005,800.137,801.5674,839.0455,905.1707999999999,
2005-06-24,0.0163297,824.038,786.428,813.203,800.382,825.4200999999999,896.4050000000001,
2005-07-01,-0.0649912,838.42,758.707,760.352,794.2528,810.1282,886.80195,
2005-07-08,-0.0493166,756.033,722.283,722.854,785.6302,796.6735,874.8432499999999,
2005-07-15,-0.0115736,742.947,708.992,714.488,762.2068,783.3612,862.3291999999999,
2005-07-22,0.00973704,728.523,692.697,721.445,746.4684,774.0179,847.1954499999999,
2005-07-29,0.0324072,755.942,714.684,744.825,732.7927999999999,766.5874000000001,834.2762,
2005-08-05,0.0577236,787.926,742.896,787.819,738.2862000000001,766.2695,823.19565,
2005-08-12,0.0362609,839.521,790.179,816.386,756.9925999999999,771.3114,816.5395000000001,
2005-08-19,0.00549127,865.692,803.281,820.869,778.2688,770.2378,811.0121,
2005-08-26,0.0238308,842.297,809.461,840.431,802.066,774.2672,806.65635,
2005-09-02,0.03814,874.157,822.166,872.485,827.598,780.1954000000001,802.80775,
2005-09-09,0.00804369,894.739,857.758,879.503,845.9348,792.1105,801.11935,
2005-09-16,0.0433597,920.954,874.766,917.638,866.1852000000001,811.5889000000001,804.1312,
2005-09-23,-0.053495,931.894,866.949,868.549,875.7212,826.9950000000001,805.1781,
2005-09-30,0.00110529,877.662,849.886,869.509,881.5368000000001,841.8014000000001,807.90965,
2005-10-14,0.00752609,891.862,854.274,876.053,882.2504000000001,854.9242,810.7558,
2005-10-21,0.0216585,900.68,868.461,895.027,885.3552,865.6450000000001,815.95725,
2005-10-28,-0.0781697,899.436,814.117,825.063,866.8402,866.5127,818.91205,
2005-11-04,0.0121918,843.154,808.399,835.122,860.1548,867.9380000000001,819.0879,
2005-11-11,-0.0133705,852.027,814.721,823.956,851.0441999999999,866.2904999999998,820.2788499999999,
2005-11-18,0.0240086,845.7,808.212,843.738,844.5812,863.4158,821.8056,
2005-11-25,-0.00309101,849.304,828.066,841.13,833.8018,859.5785,825.8444999999999,
2005-12-02,-0.0276604,841.876,816.422,817.864,832.3620000000001,849.6011000000001,830.595,
2005-12-09,0.00163352,819.791,792.113,819.2,829.1776,844.6662,835.8306,
2005-12-16,0.0187219,837.477,815.351,834.537,831.2938,841.1690000000001,841.4852000000001,
2005-12-23,0.0132433,845.626,828.321,845.589,831.664,838.1226,846.5234,
2005-12-30,0.0171975,869.264,846.8,860.131,835.4642,834.633,850.1389999999999,
2006-01-06,0.0369816,896.055,859.305,891.94,850.2794,841.3207,853.9167,
2006-01-13,0.0454728,935.528,892.211,932.499,872.9392,851.0584000000001,859.4982,
2006-01-20,0.0217373,954.646,914.376,952.769,896.5856,863.9397000000001,865.1151,
2006-01-25,0.00526675,969.425,946.604,957.787,919.0252,875.3446,869.3802,
2006-02-10,0.0240283,989.696,960.316,980.801,943.1592,889.3117,874.4450999999999,
2006-02-17,-0.0314111,990.492,949.428,949.993,954.7698,902.5246000000001,876.06285,
2006-02-24,0.0180738,967.607,933.37,967.163,961.7026,917.3208999999999,880.9935500000001,
2006-03-03,-0.0131374,972.246,941.801,954.457,962.0402,929.3128999999999,885.24095,
2006-03-10,-0.0343378,957.204,913.713,921.683,954.8194,936.9223,887.52245,
2006-03-17,0.0239149,946.532,920.046,943.725,947.4042,945.2817000000001,889.95735,
2006-03-24,0.0323654,983.836,939.848,974.269,952.2593999999999,953.5145999999999,897.41765,879.9340666666667
2006-03-31,0.0266682,1007.99,969.67,1000.25,958.8768,960.2896999999999,905.67405,879.9781333333334
2006-04-07,0.067842,1068.17,1001.32,1068.11,981.6074000000001,971.8237999999999,917.8817500000001,881.1104666666668
2006-04-14,0.018793,1103.66,1053.89,1088.18,1014.9068,984.8630999999999,930.1038500000001,882.7714833333334
2006-04-21,0.0132,1106.54,1080.62,1102.55,1046.6717999999998,997.0379999999999,943.17485,885.2737666666667
2006-04-28,0.0354978,1146.38,1076.91,1141.69,1080.1560000000002,1016.2076999999999,959.3661499999998,888.2681333333334
2006-05-12,0.124371,1283.75,1148.08,1283.68,1136.842,1047.8594,982.59015,893.5833166666667
2006-05-19,0.0638556,1369.43,1289.15,1365.65,1196.3500000000001,1088.9787000000001,1009.1458,899.2754833333333
2006-05-26,-0.00742945,1396.49,1279.95,1355.5,1249.814,1132.3604,1034.64135,905.1469833333334
2006-06-02,0.0754422,1475.08,1352.98,1457.76,1320.8560000000002,1183.7639,1064.5228,912.6191500000001
2006-06-09,-0.0763375,1485.57,1326.78,1346.48,1361.8139999999999,1220.9850000000001,1087.2498,919.2353333333334
2006-06-16,0.0266836,1382.6,1328.87,1382.41,1381.56,1259.201,1109.7453500000001,926.7518833333335
