date,pct_change,high,low,close,ma5,ma10,ma20,ma60
1988-01-03,,1005.19,1005.19,1005.19,,,,
1988-01-10,0.0213889,1026.69,956.49,1026.69,,,,
1988-01-17,-0.0723002,987.52,952.46,952.46,,,,
1988-01-24,0.0147197,1003.13,949.24,966.48,,,,
1988-01-31,-0.0315371,968.26,936.0,936.0,977.3639999999999,,,
1988-02-07,0.0463462,990.22,951.5,979.38,972.202,,,
1988-02-14,0.0552492,1033.49,983.31,1033.49,973.5619999999999,,,
1988-02-21,0.0128594,1055.77,1046.78,1046.78,992.426,,,
1988-02-28,0.0311622,1091.59,1059.48,1079.4,1015.01,,,
1988-03-06,-0.00395592,1087.32,1075.13,1075.13,1042.836,1010.1,,
1988-03-13,-0.00156265,1082.54,1073.45,1073.45,1061.65,1016.926,,
1988-03-20,0.0464112,1123.27,1071.89,1123.27,1079.6060000000002,1026.584,,
1988-03-27,-0.0512433,1116.11,1065.71,1065.71,1083.3920000000003,1037.909,,
1988-04-03,-0.0031716,1066.5,1037.26,1062.33,1079.9779999999998,1047.4940000000001,,
1988-04-10,0.0151366,1081.9,1063.28,1078.41,1080.634,1061.7350000000001,,
1988-04-17,-0.006658,1102.33,1071.23,1071.23,1080.19,1070.9199999999998,,
1988-04-24,-0.00389265,1083.45,1067.06,1067.06,1068.948,1074.277,,
1988-05-01,-0.0167657,1066.82,1049.17,1049.17,1065.64,1074.516,,
1988-05-08,-0.0113709,1052.84,1037.24,1037.24,1060.622,1070.3,,
1988-05-15,-0.0291832,1023.62,994.35,1006.97,1046.334,1063.484,1036.792,
1988-05-22,0.0241914,1049.59,1020.32,1031.33,1038.354,1059.272,1038.0990000000002,
1988-05-29,0.0228735,1054.92,1031.92,1054.92,1035.926,1052.4370000000001,1039.5104999999999,
1988-06-05,0.0446574,1102.03,1064.61,1102.03,1046.498,1056.069,1046.989,
1988-06-12,0.012477,1125.66,1097.67,1115.78,1062.206,1061.414,1054.4540000000002,
1988-06-19,0.0074925,1134.02,1117.84,1124.14,1085.6399999999999,1065.987,1063.861,
1988-06-26,0.0062714,1137.23,1104.7,1131.19,1105.6119999999999,1071.9830000000002,1071.4515,
1988-07-03,0.0198818,1153.68,1124.73,1153.68,1125.364,1080.645,1077.461,
1988-07-10,0.0400804,1199.92,1170.44,1199.92,1144.942,1095.7199999999998,1085.118,
1988-07-17,-0.00860897,1191.53,1167.74,1189.59,1159.7040000000002,1110.955,1090.6275,
1988-07-24,-0.0280264,1188.4,1156.25,1156.25,1166.126,1125.883,1094.6835,
1988-07-31,0.0192692,1178.53,1149.77,1178.53,1175.594,1140.603,1099.9375,
1988-08-07,0.0130162,1193.87,1182.98,1193.87,1183.632,1154.498,1103.4675,
1988-08-14,-0.0178076,1202.28,1162.76,1172.61,1178.17,1161.556,1108.8125,
1988-08-21,-0.00694179,1180.39,1158.61,1164.47,1173.146,1166.425,1113.9195,
1988-08-28,-0.00677563,1165.98,1151.46,1156.58,1173.212,1169.6689999999999,1117.828,
1988-09-04,-0.00316443,1169.46,1150.97,1152.92,1168.09,1171.842,1121.9125,
1988-09-11,0.029204,1186.86,1173.43,1186.59,1166.634,1175.133,1127.8890000000001,
1988-09-18,0.0359771,1229.28,1199.83,1229.28,1177.9679999999998,1178.069,1136.8944999999999,
1988-09-25,0.0172133,1257.8,1243.04,1250.44,1195.162,1184.154,1147.5545,
1988-10-02,0.00259118,1254.93,1239.9,1253.68,1214.5819999999999,1193.8970000000002,1159.8899999999999,
1988-10-09,0.00907728,1265.06,1243.28,1265.06,1237.01,1202.55,1171.5765,
1988-10-16,0.0153747,1284.51,1263.0,1284.51,1256.594,1211.614,1183.056,
1988-10-23,0.0101906,1309.23,1282.75,1297.6,1270.258,1224.1129999999998,1192.8345000000002,
1988-10-30,0.0131859,1319.25,1288.11,1314.71,1283.1119999999999,1239.1370000000002,1202.781,
1988-11-06,-0.0192742,1308.25,1275.68,1289.37,1290.2499999999998,1252.416,1211.0425,
1988-11-13,-0.0288978,1284.6,1252.11,1252.11,1287.6599999999999,1262.335,1217.0885,
1988-11-20,0.0208768,1278.25,1252.83,1278.25,1286.408,1271.501,1223.317,
1988-11-27,-0.00201835,1286.99,1275.04,1275.67,1282.0220000000002,1276.1399999999999,1227.1045,
1988-12-04,-0.00280643,1281.61,1259.19,1272.09,1273.498,1278.3049999999998,1231.2295,
1988-12-11,0.0225377,1300.76,1281.32,1300.76,1275.776,1283.013,1238.455,
1988-12-18,-0.00188348,1298.31,1282.28,1298.31,1285.016,1286.338,1244.444,
1988-12-25,0.0214817,1331.52,1310.38,1326.2,1294.6060000000002,1290.507,1251.0605,
1989-01-01,0.00303878,1342.46,1330.23,1330.23,1305.518,1293.77,1258.9415,
1989-01-08,0.0197334,1372.4,1325.96,1356.48,1322.3960000000002,1297.947,1268.542,
1989-01-15,0.000162163,1367.09,1349.9,1356.7,1333.584,1304.68,1278.548,
1989-01-22,-0.0198201,1343.58,1316.93,1329.81,1339.884,1312.45,1287.3925,
1989-01-29,0.00903128,1345.63,1313.29,1341.82,1343.008,1318.807,1295.154,
1989-02-05,-0.00956161,1335.94,1305.93,1328.99,1342.76,1324.139,1300.1395,
1989-02-12,0.0136796,1356.54,1332.66,1347.17,1340.898,1331.647,1304.976,
1989-02-19,-0.0202202,1335.5,1319.93,1319.93,1333.544,1333.5639999999999,1308.2885,1168.3235
1989-02-26,-0.0268803,1320.83,1273.08,1284.45,1324.472,1332.178,1309.258,1172.9778333333334
1989-03-05,0.0314843,1324.89,1269.68,1324.89,1321.086,1332.047,1311.277,1177.9478333333332
1989-03-12,-0.00341917,1332.67,1314.67,1320.36,1319.3600000000001,1331.06,1312.415,1184.0795
1989-03-19,0.00390047,1332.66,1310.36,1325.51,1315.028,1327.9630000000002,1312.955,1190.063333333333
1989-03-26,-0.0164088,1308.79,1299.16,1303.76,1311.7939999999999,1322.6689999999999,1313.6745,1196.1926666666666
1989-04-02,0.0123642,1319.88,1308.24,1319.88,1318.8799999999999,1321.676,1317.063,1201.8676666666665
1989-04-09,0.0198427,1351.48,1339.43,1346.07,1323.116,1322.101,1320.4540000000002,1207.0773333333334
1989-04-16,0.0239809,1396.34,1362.59,1378.35,1334.714,1327.037,1325.5880000000002,1212.6035
1989-04-23,-0.00175567,1395.69,1375.93,1375.93,1344.798,1329.913,1330.7800000000002,1217.5456666666666
1989-04-30,-0.00137363,1374.76,1368.6,1374.04,1358.8539999999998,1335.324,1334.444,1222.5275
1989-05-07,0.00454135,1380.28,1359.06,1380.28,1370.9339999999997,1344.907,1338.5425,1227.6413333333333
1989-05-14,-0.0231982,1379.38,1348.26,1348.26,1371.3719999999998,1347.2440000000001,1339.6455,1231.3911666666668
1989-05-21,0.00431663,1354.08,1338.38,1354.08,1366.518,1350.616,1340.8380000000002,1236.1973333333335
1989-05-28,0.0143788,1373.55,1348.59,1373.55,1366.042,1355.4199999999998,1341.6915,1241.3843333333336
1989-06-04,0.0322376,1417.83,1378.63,1417.83,1374.8,1366.8269999999998,1344.748,1247.0413333333333
1989-06-11,0.0134502,1440.0,1408.95,1436.9,1386.124,1378.529,1350.1025,1253.1358333333335
1989-06-18,-0.0046559,1433.82,1425.78,1430.21,1402.514,1386.943,1354.522,1259.188333333333
1989-06-25,0.0385259,1485.31,1453.59,1485.31,1428.76,1397.639,1362.338,1266.4573333333333
1989-07-02,-0.00544673,1492.06,1475.08,1477.22,1449.494,1407.768,1368.8405,1273.7903333333334
1989-07-09,0.0207552,1511.88,1485.4,1507.88,1467.5040000000001,1421.152,1378.238,1282.1388333333334
