date,pct_change,high,low,close,ma5,ma10,ma20,ma60
1971-02-07,,100.0,100.0,100.0,,,,
1971-02-14,0.0205,102.05,100.69,102.05,,,,
1971-02-21,-0.0132289,102.19,100.7,100.7,,,,
1971-02-28,0.00635551,101.34,99.68,101.34,,,,
1971-03-07,0.0163805,103.0,101.78,103.0,101.418,,,
1971-03-14,0.0145631,104.5,104.14,104.5,102.31800000000001,,,
1971-03-21,0.0121531,105.88,105.13,105.77,103.06199999999998,,,
1971-03-28,-0.0066181,105.37,104.6,105.07,103.93599999999999,,,
1971-04-04,0.0170363,106.86,105.2,106.86,105.03999999999999,,,
1971-04-11,0.0142242,108.38,107.17,108.38,106.11599999999999,103.76700000000001,,
1971-04-18,0.0145784,109.96,108.85,109.96,107.208,104.76299999999999,,
1971-04-25,0.00663881,110.69,109.52,110.69,108.19199999999998,105.627,,
1971-05-02,0.0145451,112.46,111.13,112.3,109.63799999999999,106.78699999999999,,
1971-05-09,-0.0146037,111.77,110.66,110.66,110.398,107.71900000000001,,
1971-05-16,0.000722883,110.74,110.15,110.74,110.86999999999998,108.49299999999998,,
1971-05-23,-0.017067,109.15,108.33,108.85,110.648,108.928,,
1971-05-30,-0.00551216,108.42,107.5,108.25,110.16,109.176,,
1971-06-06,0.0222633,110.66,108.87,110.66,109.832,109.73499999999999,,
1971-06-13,-0.00415694,110.76,109.79,110.2,109.74000000000001,110.069,,
1971-06-20,-0.0185117,109.57,108.16,108.16,109.224,110.047,106.907,
1971-06-27,-0.014793,106.56,105.49,106.56,108.766,109.707,107.23499999999999,
1971-07-04,0.0207395,108.77,106.45,108.77,108.87,109.51500000000001,107.571,
1971-07-11,0.0196746,110.91,109.23,110.91,108.92,109.376,108.0815,
1971-07-18,-0.00838518,111.24,109.98,109.98,108.876,109.30799999999999,108.5135,
1971-07-25,-0.00318245,109.79,109.37,109.63,109.17,109.197,108.845,
1971-08-01,-0.0397701,109.35,105.27,105.27,108.91199999999999,108.83899999999998,108.8835,
1971-08-08,-0.0141541,105.59,103.11,103.78,107.91399999999999,108.39199999999998,108.78399999999999,
1971-08-15,0.0159954,105.44,103.04,105.44,106.82000000000001,107.87,108.80249999999998,
1971-08-22,0.0232359,108.93,107.86,107.89,106.402,107.63899999999998,108.854,
1971-08-29,0.0130689,109.3,108.26,109.3,106.33599999999998,107.753,108.9,
1971-09-05,0.00622141,109.98,108.42,109.98,107.27799999999999,108.095,108.901,
1971-09-12,0.00400068,110.58,110.42,110.42,108.606,108.26000000000002,108.8875,
1971-09-19,-0.00289802,110.22,109.77,110.1,109.53799999999998,108.179,108.77749999999999,
1971-09-26,-0.0110808,109.99,108.8,108.88,109.73599999999999,108.06899999999999,108.6885,
1971-10-03,0.00642914,109.58,108.18,109.58,109.792,108.06400000000001,108.63050000000001,
1971-10-10,0.0105858,110.98,109.96,110.74,109.94399999999999,108.61099999999999,108.725,
1971-10-17,-0.0102944,110.91,109.6,109.6,109.78,109.19300000000001,108.79249999999999,
1971-10-24,-0.0255474,109.06,106.58,106.8,109.11999999999998,109.329,108.59949999999999,
1971-10-31,-0.0159176,106.29,104.28,105.1,108.36399999999999,109.05,108.34450000000001,
1971-11-07,0.00342532,105.56,103.54,105.46,107.53999999999999,108.66599999999998,108.20949999999998,
1971-11-14,-0.0146975,105.72,103.74,103.91,106.174,108.059,108.077,
1971-11-21,-0.00923883,103.71,102.95,102.95,104.84400000000001,107.31199999999998,107.78599999999999,
1971-11-28,-0.0127246,101.79,100.31,101.64,103.81199999999998,106.46599999999998,107.32249999999999,
1971-12-05,0.0552932,107.26,103.08,107.26,104.244,106.304,107.1865,
1971-12-12,0.0144508,108.81,106.92,108.81,104.91399999999999,106.227,107.1455,
1971-12-19,0.0157155,110.52,109.07,110.52,106.23600000000002,106.205,107.40799999999999,
1971-12-26,0.0128484,111.97,111.5,111.94,108.03399999999999,106.43900000000001,107.816,
1972-01-02,0.0194747,114.12,111.7,114.12,110.53,107.171,108.25,
1972-01-09,0.016912,116.05,113.65,116.05,112.28800000000001,108.266,108.65799999999999,
1972-01-16,0.00594567,116.9,116.1,116.74,113.874,109.394,109.03,
1972-01-23,0.00402605,117.66,116.93,117.21,115.21199999999999,110.724,109.3915,
1972-01-30,0.010494,118.44,116.3,118.44,116.51199999999999,112.273,109.79249999999999,
1972-02-06,0.0236406,121.24,118.87,121.24,117.93599999999999,114.23299999999999,110.34949999999999,
1972-02-13,0.0133619,122.86,121.14,122.86,119.298,115.793,111.04850000000002,
1972-02-20,0.00439525,123.44,122.26,123.4,120.63,117.252,111.73949999999999,
1972-02-27,0.0115883,124.83,123.3,124.83,122.154,118.68300000000002,112.444,
1972-03-05,0.0189057,127.19,124.94,127.19,123.904,120.208,113.32350000000001,
1972-03-12,0.0106927,128.85,127.83,128.55,125.36599999999999,121.65099999999998,114.41099999999999,
1972-03-19,-0.00420077,128.14,127.34,128.01,126.396,122.84699999999998,115.5565,
1972-03-26,-0.0035934,127.55,125.73,127.55,127.226,123.928,116.66099999999999,110.5925
1972-04-02,0.00462561,128.14,127.53,128.14,127.888,125.021,117.87250000000002,111.0615
1972-04-09,0.0285625,131.8,128.06,131.8,128.81,126.35700000000001,119.31499999999998,111.55733333333333
1972-04-16,0.0157815,133.88,131.76,133.88,129.876,127.62100000000001,120.92699999999999,112.11033333333333
1972-04-23,-0.00649843,134.1,132.68,133.01,130.876,128.636,122.2145,112.63816666666666
1972-04-30,-0.0126306,131.9,130.84,131.33,131.632,129.429,123.34049999999999,113.11033333333333
1972-05-07,-0.0144674,130.16,128.77,129.43,131.89,129.88899999999998,124.28599999999999,113.52583333333334
1972-05-14,7.73373e-05,129.44,125.78,129.44,131.418,130.114,125.16099999999999,113.92033333333333
1972-05-21,0.0210136,132.16,129.76,132.16,131.074,130.475,126.06299999999999,114.37183333333333
1972-05-28,0.0135441,133.95,132.38,133.95,131.262,131.069,126.95800000000001,114.82333333333332
1972-06-04,-0.0032101,133.52,132.53,133.52,131.7,131.666,127.797,115.24233333333333
1972-06-11,-0.022094,132.74,130.57,130.57,131.928,131.90900000000002,128.46499999999997,115.58583333333333
1972-06-18,0.00543763,131.45,130.38,131.28,132.296,131.857,129.107,115.929
1972-06-25,-0.00807433,131.38,130.22,130.22,131.908,131.491,129.55599999999998,116.22766666666666
1972-07-02,-0.0010751,130.08,129.31,130.08,131.134,131.198,129.917,116.55133333333333
1972-07-09,0.0109163,131.86,130.59,131.5,130.73,131.215,130.32199999999997,116.89733333333334
1972-07-16,-0.0161216,130.85,129.03,129.38,130.49200000000002,131.20999999999998,130.5495,117.23949999999999
1972-07-23,-0.0135261,128.4,127.09,127.63,129.762,131.029,130.5715,117.5625
1972-07-30,0.00407425,128.77,128.15,128.15,129.348,130.62800000000001,130.5515,117.854
1972-08-06,0.0217714,130.94,127.75,130.94,129.52,130.327,130.698,118.19966666666667
1972-08-13,0.00565137,131.68,130.61,131.68,129.55599999999998,130.143,130.9045,118.59166666666667
1972-08-20,-0.00189854,131.7,130.89,131.43,129.966,130.22899999999998,131.069,119.00616666666666
1972-08-27,-0.00852161,131.29,130.31,130.31,130.502,130.132,130.99450000000002,119.36516666666667
1972-09-03,0.00299286,130.7,129.44,130.7,131.012,130.18,130.8355,119.695
1972-09-10,-0.0120122,130.33,129.13,129.13,130.65,130.08499999999998,130.6415,120.01416666666667
1972-09-17,-0.0113065,128.26,127.18,127.67,129.848,129.702,130.45850000000002,120.31483333333334
1972-09-24,-0.00164486,127.61,127.3,127.46,129.054,129.51,130.35999999999999,120.68466666666667
1972-10-01,0.016868,129.61,126.82,129.61,128.91400000000002,129.708,130.36849999999998,121.11516666666667
1972-10-08,-0.0114188,129.48,128.01,128.13,128.4,129.706,130.167,121.49333333333334
1972-10-15,-0.00733632,129.02,127.19,127.19,128.012,129.33100000000002,129.829,121.815
1972-10-22,0.00636841,128.0,125.87,128.0,128.078,128.96300000000002,129.553,122.12666666666665
1972-10-29,0.0119531,129.53,128.66,129.53,128.49200000000002,128.773,129.501,122.45250000000001
1972-11-05,0.029414,133.34,129.46,133.34,129.238,129.076,129.60399999999998,122.8345
1972-11-12,-0.00164993,133.58,132.82,133.12,130.236,129.318,129.749,123.21816666666668
1972-11-19,-0.00593445,132.9,132.33,132.33,131.264,129.638,129.86149999999998,123.609
1972-11-26,0.00521426,133.02,132.12,133.02,132.268,130.173,129.9375,123.99966666666666
1972-12-03,0.00691624,133.94,132.57,133.94,133.15,130.821,130.1655,124.38633333333334
1972-12-10,0.00903383,135.15,134.14,135.15,133.512,131.375,130.54149999999998,124.81216666666666
1972-12-17,-0.0119866,134.83,133.33,133.53,133.594,131.91500000000002,130.8105,125.25766666666667
1972-12-24,-0.0168501,132.54,131.08,131.28,133.38400000000001,132.324,130.8275,125.694
1972-12-31,0.0186624,133.73,131.18,133.73,133.526,132.897,130.93,126.16516666666666
1973-01-07,0.0163016,135.91,134.63,135.91,133.92,133.535,131.15400000000002,126.6985
1973-01-14,0.000735714,136.84,135.99,136.01,134.092,133.802,131.439,127.2495
1973-01-21,-0.0157341,134.6,133.87,133.87,134.16,133.877,131.5975,127.78666666666666
1973-01-28,-0.0307014,133.15,129.76,129.76,133.856,133.62,131.629,128.16166666666666
1973-02-04,-0.0252774,128.46,126.48,126.48,132.406,132.966,131.5695,128.45616666666666
1973-02-11,-0.00490198,126.27,123.97,125.86,130.396,132.158,131.48950000000002,128.71183333333335
1973-02-18,-0.0104084,127.19,124.43,124.55,128.104,131.09799999999998,131.2365,128.922
1973-02-25,-0.0177439,125.01,122.34,122.34,125.798,129.97899999999998,130.947,129.059
1973-03-04,-0.0182279,121.27,119.53,120.11,123.86800000000001,128.862,130.59300000000002,129.12666666666667
1973-03-11,0.0156523,122.28,120.55,121.99,122.97,127.68799999999999,130.2925,129.21416666666667
1973-03-18,-0.00631197,122.1,121.22,121.22,122.04199999999999,126.21900000000001,129.877,129.281
1973-03-25,-0.0474344,119.94,115.47,115.47,120.226,124.165,128.9835,129.23149999999998
1973-04-01,0.0172339,118.19,115.54,117.46,119.25,122.524,128.2005,129.1685
1973-04-08,-0.0356717,115.79,112.02,113.27,117.88199999999999,120.875,127.24750000000002,129.00866666666667
1973-04-15,0.0172155,115.59,114.01,115.22,116.52799999999999,119.749,126.35749999999999,128.87233333333333
